datatype,source_file,source_directory
email,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
FLOAT,activity__garmin_activities_origcopy.csv,RADx-DHT
Float,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
float,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
Float,data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT
Float,medications_data_dictionary_origcopy.csv,RADx-DHT
float,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
float,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT
Int,medications_data_dictionary_origcopy.csv,RADx-DHT
Integer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
integer,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
Integer,data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT
Integer,data_dictionary_user.xlsx [User].csv,RADx-DHT
Integer,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
integer,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
integer,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
integer,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
integer,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Contact Tracing and Disagreements Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 10.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 11.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 12.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 13.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 14.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 15.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 16.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 17.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 18.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 19.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 2.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 20.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 21.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 22.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 23.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 24.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 25.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 26.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 27.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 28.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 3.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 4.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 5.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 6.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 7.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 8.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 9.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Home Visits and Mask Type.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Largest Gathering and Height Weight.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Mail and Places of Worship.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Public Transit and Shared Elevators.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Regular Healthcare and COVID-19.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Religious Services.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Spice Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Thanksgiving Plans.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 2.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT
integer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT
"jurisdiction id (a string 20 characters or less, containing only numbers, English alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
list (comma-separated strings),NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
Long,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT
Long,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT
Long,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
Long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT
Long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
Long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT
Long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
Long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
Long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
Long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT
Long,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT
Map,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
Map,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
Map,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
Map,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT
notes,Demographics_and_Clinical.csv,RADx-DHT
NPDES permit number (<2-letter abbreviation><#######>),NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
NUMBER,activity__garmin_activities_origcopy.csv,RADx-DHT
number,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
number,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
NUMBER,survey__baseline_survey_origcopy.csv,RADx-DHT
NUMBER,survey__weekly_survey_origcopy.csv,RADx-DHT
phone,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
radio,Demographics_and_Clinical.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Cars and Allergies.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 10.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 11.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 12.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 13.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 14.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 15.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 16.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 17.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 18.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 19.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 2.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 20.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 21.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 22.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 23.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 24.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 25.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 26.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 27.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 28.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 3.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 5.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 6.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 7.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 8.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey 9.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Daily COVID-19 Citizen Science Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Demographics Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Home Visits and Mask Type.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Mail and Places of Worship.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Thanksgiving Plans.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 2.csv,RADx-DHT
Select any,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT
