Channel,variable_name,description,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Steps,steps__max_rolling_dec_time_30,Time of max of 30-minute rolling sum,The index of the maximum value in the 30 minute rolling sum series of the daily minute level steps series divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,9572a0887652f2a6c28d9e842280d77e56e332b8a81b9d4c727cd77e2f9b8b32a17870626d5fb8750f3375f4e98cf5a0d4afa0f5d0cac14f29c42ed52bc0b776
Steps,steps__max_rolling_dec_time_60,Time of max of 60-minute rolling sum,The index of the maximum value in the 60 minute rolling sum series of the daily minute level steps series divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,5692036a538050ded65161b4efc6aaae0017e7efe9317a038fb4845a3ad489c31ed6c5a47fea6662fb19b7b0c0d3327fc1d029a520870cdd86e68f2c5a44640a
Steps,steps__gt10_nonzero_frac,"Fraction of minutes with >10 steps out of non-zero, no units",The count of minute level steps > 10 divided by the count of minute level steps > 0,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,f44ae6410c42e6a66d5da141232e319f969f16d99099b37b0031a3ff8b6eeb4e3cb445972da6922ab3e4551c19340de76cde6d8c866530b1546d890b9e87be5a
Steps,steps__gt50_nonzero_frac,"Proportion of minutes with > 50 steps among all minutes with non-zero steps, no units",The count of minute level steps > 50 divided by the count of minute level steps > 0,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,241431f50d3549f79a8d6a271d6f0364aeb2d2516d99d5fe43e53d4074cb50d62218ab8a847d5c9cedc73d0db7dfd01371ceb28c1fe1fe667a6c687d01ead5a1
Steps,steps__gt100_nonzero_frac,"Fraction of minutes with > 100 steps out of non-zero, no units",The count of minute level steps > 100 divided by the count of minute level steps > 0,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,a4d8063e0d551efbf36a180ebb5a9e42abec3b5fdad0b81fdec283971c4fac713c21b009d227fc6932900547590ae09ac82400b472b0359678372425154cfbf9
Steps,steps__gt140_nonzero_frac,"Proportion of minutes with > 140 steps among all minutes with non-zero steps, no units",The count of minute level steps > 140 divided by the count of minute level steps > 0,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,48f81ab780b2b1dc09392c8349c7108f63409e4f3144a8378420d503f42ff1cdb31e2d1e532a02fa486e5a29406c52e42d14dd67f2f09fbe1df63436f6b2858d
Steps,steps__nonzero_5quantile,"5th quantile of non-zero steps distribution, units = number of steps",The 5th quantile of non-zero minute level steps values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,cff68e12b65a456b7fb0ea864dcc597241379fae95eb74a2b8d6eab72241a4077bae8c39651fcc1cd47c14ce4e247d74220343b7e0a2c108b117ecfb05a03bd0
Steps,steps__nonzero_50quantile,"50th quantile of non-zero steps distribution, units = number of steps",The 50th quantile of non-zero minute level steps values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,6be041201036ff7ecf1fced0776fa1b14e883b0e2936803a3ed132e566ac0076afad52778cd615cea50ac18f6c4d4e7df1a0c69e25bf075c8390ab30402d8455
Steps,steps__nonzero_95quantile,"95th quantile of non-zero steps distribution, units = number of steps",The 95th quantile of non-zero minute level steps values,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,c7bfec5d9a0de964edbe9e378ff1683cd6488a2d7f0230cb8ac033128caa7e8fceb4730540a9cd6036c51dc62698814e87e7b46c4ff2a2c8a5085e8b2c9821e4
Sleep,sleep__total_asleep_minutes,"Total minutes asleep in a day (""totalMinutesAsleep"")",https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,ea26d1ad7d63717c9802ab32349bdbafa7f1c63b59a30d2445125ea84e0891f7b33c150e37a8add1476656608432b32482d2d7586a739d0e5e113b095b0ec264
