survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Largest Gathering and Height/Weight,0,large_gatherings,"In the past week, approximately how many people outside your household were at the largest gathering you attended?",true,integer,|people,survey_data_dictionary_origcopy.csv - Largest Gathering and Height Weight.csv,RADx-DHT,d000d970304b22cb5e658f2bf353129425ace9a951b40383694cfbae25dbaf3d3edd730e4ba2a1fdb226b5039803e6b523314cfc35308fb5640bbca2582bba36
Largest Gathering and Height/Weight,0,height,What is your height in inches?,true,integer,|inches,survey_data_dictionary_origcopy.csv - Largest Gathering and Height Weight.csv,RADx-DHT,e0b3b71ac4b90700644147393e29bf3ab0bdd3aef7375a8b5ce26f731c7a00c3226e2ee4ede9ae888a7f94ff3eb2bb7e99f025e905a7333a5777ec25078e1c35
Largest Gathering and Height/Weight,0,weight,What is your weight in pounds?,true,integer,|pounds,survey_data_dictionary_origcopy.csv - Largest Gathering and Height Weight.csv,RADx-DHT,ff7c9ac371751bafc43b70dc88a25fa048ef255f11adb58aa93bb9380ee127b5254bde1c4eb396e2eaf49e1a330f43831e9abae7fc1b9fe35e80367a0c162959
