survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Return to School and College,0,school_age_child,Do you have school aged children living with you who have recently started or returned to in-person instruction (physically located at school)?,true,select one,Yes;No;Other,survey_data_dictionary_origcopy.csv - Return to School and College.csv,RADx-DHT,7be1c83d04716a022ece1fa26d4d29110b1a563fa284d148bdfe356de7ab49ae7b192fd8cb7c338707b2cfd22270e7abf34ee140db7e3288e034a2e1176d7d8c
Return to School and College,0,college_child,Do you have college aged children who have recently started or returned to on-campus instruction?,true,select one,Yes;No;I am a college student;Other,survey_data_dictionary_origcopy.csv - Return to School and College.csv,RADx-DHT,9e4779b2446e7ccb79b2573b91c2f0a24d3c078d60ceb18057815094207704289957fc612593a405ab7968fe837ed651349fd98dc400fb578cdec7eaa6675292
Return to School and College,0,college_child_home,Is your college aged child (or children) living in your household while attending school on campus?,true,select one,Yes;No;Other,survey_data_dictionary_origcopy.csv - Return to School and College.csv,RADx-DHT,fbb05c272adede7fb8824a7b970437e73f78b5559682b042636a1749793afcd2cf372c2280345a419c1bf36d1a07abf33a795eef70f1745172b370d723ed29a4
Return to School and College,0,on_campus_inst,Have you recently started or returned to on-campus instruction?,true,select one,Yes;No;Other,survey_data_dictionary_origcopy.csv - Return to School and College.csv,RADx-DHT,3e350f7fc678175716e79b3271b07579864acfeae95d741dff6a1f79d015b761695705ae3e2d0d289a984da032182d3c13bcf7eedbd35142a586bcf2d8d4e533
Return to School and College,0,dorm,Are you currently living in a shared space such as a dormitory or multi-tenant apartment?,true,select one,Yes;No;Other,survey_data_dictionary_origcopy.csv - Return to School and College.csv,RADx-DHT,44b05348877e85918a8bba8a1ad8552847e7852700e90fa88e560bcffc8508477dc7dda6976c5e68274deff2c8d106b3288431a95a64fcc24f1e824f1e3a19ba
