datatype,variable_name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
float,max_heart_rate_in_beats_per_minute,"Original Source name (if applicable): `maxHeartRateInBeatsPerMinute`.

Garmin documenention:

Maximum of heart rate values captured during the monitoring period, in beats per minute.
",activity__garmin_activities_origcopy.csv,RADx-DHT,27269d79e29682cc9f4b1eb24b4a9d9099978c7a5799758e43d9dc2d58f8394e9a331dc9e5e2af12dbfd67f72ef26913b9c385860d604bed68f9d76b02799b5f
float,max_pace_in_minutes_per_kilometer,"Original Source name (if applicable): `maxPaceInMinutesPerKilometer`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,f494c3d14c68a4fbd035e68c0e4a964749a1172ff93959e99f79835e928de8dc5a753553ebc7b899b42ab83caf08f437870dcc183ce8098899a2196eb783e951
float,max_run_cadence_in_steps_per_minute,"Original Source name (if applicable): `maxRunCadenceInStepsPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,83cb121c8f51118be1d9c75d3896ef1e1c9d83689b08d442f5c0c7802d91510c98f812e924a2cad393e561896ea72b6e3c1fe3888b359003c7979f321dd6fd03
float,max_speed_in_meters_per_second,"Original Source name (if applicable): `maxSpeedInMetersPerSecond`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,b97acc37d3e3e1983dd20eef74a3e1b02669ce12320f8fec0130cef7d9ab4527d56bc93786df8dff1752ab5ff9ad4ae50683037a6c23d0d10cffaa2d669b2abb
number,number_of_active_lengths,"Original Source name (if applicable): `numberOfActiveLengths`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,a197336973740b0786ce426952893103c057567ddd5b3b0b70b36ffa62a8af4f8904601bd7bf22131c021ee590a10d9213a2ab80bfb51fdcf5ab321aa4373395
number,start_time_in_seconds,"Original Source name (if applicable): `startTimeInSeconds`.

Garmin documenention:

Start time of the activity in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).
",activity__garmin_activities_origcopy.csv,RADx-DHT,02b0c2e0cf1132a3dac21d6503b4694476545477b9dce620e9d90eb410d5498f2e6d8cfc6ae1e21082140a32535b3fde813157eb7066d68a1793e747c4e88a0e
number,start_time_offset_in_seconds,"Original Source name (if applicable): `startTimeOffsetInSeconds`.

Garmin documenention:

Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.
",activity__garmin_activities_origcopy.csv,RADx-DHT,d51ffa5c03a5e6d0101de5208978d7ded0da592666e9818e7fd277099e197dafa31b37d31bf7d87a8e2c778dfb2296d69fc2e9240c2d4c29670567f21e491551
number,steps,"Original Source name (if applicable): `steps`.

Garmin documenention:

Count of steps recorded during the monitoring period.",activity__garmin_activities_origcopy.csv,RADx-DHT,91957bdceb8c409ef110832a0ccc2d0861ab2526910e937499c4180ad0c08bff2de5e42fbd4b26cdb2b9980af7c9f080729183b3936e90dcbffd6af2bbef7d71
float,total_elevation_gain_in_meters,"Original Source name (if applicable): `totalElevationGainInMeters`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,1280e552b43a23d247f79c5c8e21ce796b8f12d3a1f1450533b82242f82013b590d0bf480ce928687891840a3272eb7b61f2630623a5a315bf0dafd3979ca561
float,total_elevation_loss_in_meters,"Original Source name (if applicable): `totalElevationLossInMeters`.

Garmin documenention:

 ",activity__garmin_activities_origcopy.csv,RADx-DHT,d46326e8cb9014da88a74a9bd3f23cbcbea7c9b0b8e582d8f53eaacf4c3b1e51342b15fe4da5e18070e5a075b71a95c16c1e6d2c1204c7dd1adba4bf00730c08
