variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,string,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,c7a2a15bb63352de3a2a40319bc9570b1dfdfc155a626a73ec1c778eabf02284322cee2ea0a954e72ea1ba68aed2c10716062e8a95f16c1ece4034becf1ffa28
dt,Evidation based date of record,date,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,c95775be395f72b6d057e01cc0868aef4acf074be6d4e4ca323e34495cf8b2bcba7aa0c98b50a30778199db9fa19f8e964d472417f79da7b5e3727d83db086d5
calendardate,The calendar date this summary would be displayed on in Garmin Connect. The date format is ‘yyyy-mm-dd’.,string,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,ad67694c3af3c79e50eb52ae281042531316cc1171278f9ffc1b7cd20af983487b1a37af8c6de165c31eee50787eff8c81503726223896f4e13bea4b24c62d32
starttimeinseconds,"Start time of the summary in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",float,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,e0b9971138543e38eb1b33e5b6ed90a34d5bb5d6e5126d32e7c0f8bdf5c72bfef52a624f0c9e77033c5f439ba08fd6f5cce6b5f2881bf06e568a0d679f3cd6df
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",integer,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,1efbd97d44184143135fea7181b96296f7d95224b73eb45506f0cf5cac2a7b8ce647f2b9e10f792a08abb282ec01449d9f8b8760fb619769b3ff71d089be1c35
durationinseconds,The duration of the measurement period in seconds.,integer,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,35652d6bc86af68c4f386482eb01f35a1d1a753ae0ebd56f3150e2e2807a51897c75d3dc29e2b8b87b21706d37d5c74e383ebd94c21eeba3e0bef263d6b81c06
timeoffsetspo2values[map].key,Collection of key-value pairs where the key is offset in seconds from the startTimeInSeconds and the value is the SpO2 measurement taken at that time (1 sample/minute),map,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,780cb6b474a754afa9be1c2f9f43e01a8290cf215c49ed2797fedef698c6ddf5439aef953380de933aba49a73798369e3b6b9d76fec6e74c320d636d4b75c738
timeoffsetspo2values[map].value,Collection of key-value pairs where the key is offset in seconds from the startTimeInSeconds and the value is the SpO2 measurement taken at that time (1 sample/minute),map,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT,eb178e059cef2e7bdf7f0a19c633de246d752dbc7eaa90838e2c4ce1b5d3d6a6c334b9ef41d97b096a4a0797a5447c8069d6165f1214f951e8d89ec79c4b06c5
