variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
starttime,Timestamp of start time for actvity recording,https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,c785626bc51773f3aa9d1256fedfac5be03520f8dabaabd8b4eaea866c39f8b10348442fd66edc42ebe364f915673b5b40c248fd6725633d583f6621610dec82
steps,Total steps accumulated for activity recording,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,78570e7cde49e43125956a4a19cff8fa7bf06d0409584368800b2131a0ba9c93ca8ef9f81873e1f406a84d1186f0885c6d5b837d6b311acc43e98a04ae269a1d
activezoneminutes.minutesinheartratezones[array].minutemultiplier,Credit given for specific Active Zone where participants are given 2x Active Zone Minutes for time spent in your cardio or peak heart rate zone,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,325008ae0c16cfbebf0faac726fa6e92fe18b8f029c6904e092553d207f7738cf1e8fe28938fb89cbaf0f6e44766b2ab05c77fea8fbc67ff40ccfe255311178e
activezoneminutes.minutesinheartratezones[array].minutes,Total Minutes within specific activity zone in Active Zone Minutes array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,48ed5285a353554a455f719e7173cca179d3fc0247733f0730480c4dbb315ac915d71e3c004c4fd886a3c14e16d6ff909f80155bfd7ae48e1cbec132cda352f9
activezoneminutes.minutesinheartratezones[array].order,"Integer corresponding to Heart Rate Zone category for Active Zone Minutes array: {
        0: 'OUT_OF_ZONE',
        1: 'FAT_BURN',
        2: 'CARDIO',
        3: 'PEAK',
}",https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,ccc49a899125b70bca69d9c2dc4edff5911db7e5c60f3a93d90f4741e93218cb477568ec203435a333aa9c004ba0a4f0ef30642d34e6792f3e8d87e65921b4e2
activezoneminutes.minutesinheartratezones[array].type,"Name corresponding to Heart Rate Zone cateory for Active Zone category: {
        0: 'OUT_OF_ZONE',
        1: 'FAT_BURN',
        2: 'CARDIO',
        3: 'PEAK',
}",https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,8793b6105c37a86582ee59709f9ba66442345539d2691be25887e88a0b92bc6d2a5285659803abd7803f81883cc31b6051314677ad1ef5dad42cf9216685e237
activezoneminutes.minutesinheartratezones[array].zonename,"Name corresponding to Heart Rate Zone category for Active Zone category (can differ based on participant's system language): {
        0: 'OUT_OF_ZONE',
        1: 'FAT_BURN',
        2: 'CARDIO',
        3: 'PEAK',
}",https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,dfa95570743af5e20aaa7989c50ab5ee8ca4423a377d5917d98f618cd37e1bdef81e6f35d5f7175ed0fbe0bbcd9640baba8a628f2ce2af915c8d1fa65733b4cb
activezoneminutes.totalminutes,Total Minutes within Heart Rate Zone for Active Zone array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,685509b6ff085e08ef0799605892bfcad43d43f885f710b9839b32619236318b6ae363ff64d987cfc49add7cbbc0930be2cd12b62197bbec3a0f558db2b3871c
activitylevel[array].minutes,Total Minutes within specified activity level array,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,7da6b95f6fd3d33283cb2213709e6628a67425ca7dd94f2d46859aacf73bd2901acea2f1fb20a6072b2e816a2dce43f95a60c53d7e688def8ea8bf9aa816dda8
activitylevel[array].name,"Name of specified activity level in Activity Level Array. Possible values: {'sedentary', 'lightly', 'fairly', 'very'}",https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,f170e2a770a617bcc18318727946a647154fd85c9db332cd3d07b22b6400919c6c4bccf6c61d4e0a571b7b3318fa59c394cb564668658786e768d184f783d950
