variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
shortdata[array].datetime,datetime for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,015786dd988ae0b7323d881be92619d9b3a47cca24183a8eec902e94061a4d58ea429c97e2b85675ffabe1a9cc7851f464a431e3163e9b46b4c0d3eb82399569
shortdata[array].level,"String level for shortData groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,96549509971ca4acc14786098c96b2eaa588e5579e96a100d9924fdb7dc59b1f194e47cf28091c735e513d36f37be4df7efab89f60a7857f20e2811c30caf58c
shortdata[array].seconds,seconds for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,d7c9d2f585d129eef0616b972c9149bfaf373203470a606c604a174a69a3bd351676735f3a46cfe811f5af863d3f417241373ed8f54005800e864b725d95aa59
summary.asleep.count,Number of distinct sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,4a640a673f5450b05e08a54e8dcf135da44210d9b14e1e0c468207ad528a8803dacba6e6af817efbc84a0692e423816358d6f16b3c423bca92224267188d5ed0
summary.asleep.minutes,Total minutes in asleep period during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,19d5918d3699c125daee703d7132876fee9f1897c971b6b30541480b56af285ce95fff2629de0295c3709cd4cfd479aff3c037851ba912370950c6d656715e38
summary.awake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,4bf68c61d7717a633954fb82e29dbb56c56ec6135564099cf4c4d06b15bb3cbd938af9bed2ee042c425c0f3d3264cd448665e680893e30aac156af45dc438ae4
summary.awake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,40cc677cce54d42ac62953f63245b33d73e24ee2788d9faa6d6c142ebb03655196ae32bb953c2e5ee99975254394ad666f0c6ee36d66c68d6397410a40133735
summary.deep.count,Number of distinct deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,730b18b6c349f68bd9c30f202a7ae0ca68269e16706d414098b1efba55bc311b29ddddd0f39de8fc85b5e5cd205e71e7928d72098f34e37095d53b4b100674f6
summary.deep.minutes,Total minutes in deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,32a375c1a1e34825129a4d7a886699eafae797ba7189c7f237da4211c0db36178ab5a968ab6ed69e7cd3f0f62d48d8b571562481a1683f2ada15f6a58c065967
summary.deep.thirtydayavgminutes,Thirty Day Average of time spent in deep sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,bad149fb8d956bc6afe3d3d9b8f9fc7a6c1406fe115d1cbc176f17b1bc30ab2cde54bfbd6b67d60ceb144fc034867c75f315773b350057841d09453226e35c7f
